NEONSite,FluxnetSite,Year,Month,NEON_PAR,GrowingSeason,MODIS_FPAR,MODIS_GPP,MODIS_NPP,MODIS_CUE,MODIS_ET,MODIS_PET,Ameriflux_Precipitation,Ameriflux_NEE,Ameriflux_RE,Ameriflux_GPP
ABBY,US-xAB,2020,6,351.86342686484187,1,0.56,,,,,,5.389,-1.33584,4.00076,4.75655
ABBY,US-xAB,2020,7,411.5694428744434,1,0.895,,,,,,0.225,-0.0992127,4.95068,4.38584
ABBY,US-xAB,2020,8,407.5351344086049,1,0.8285714285714285,,,,,,0.435,-0.733998,5.58814,5.68161
ABBY,US-xAB,2020,9,231.80451355207532,1,0.6687500000000001,,,,,,3.78,0.703807,6.16475,4.90157
ABBY,US-xAB,2020,10,179.5538189400102,1,0.82875,,,,,,4.755,1.29329,5.1419,3.24367
ABBY,US-xAB,2020,11,78.77591833890692,1,0.5442857142857143,,,,,,11.192,1.48174,2.8456,1.71567
ABBY,US-xAB,2020,12,67.58174380615338,1,0.41125,,,,,,9.171,0.981762,2.63468,1.3071
ABBY,US-xAB,2021,1,76.24838193657891,0,0.3225,3086.0,32.25,0.5827432324281063,12.9,16.6,11.516,0.882642,2.99419,1.85504
ABBY,US-xAB,2021,2,92.21615098272629,0,0.2842857142857143,77.25,58.25,0.6995193417347552,16.3,24.3,12.942,0.207211,1.7534,1.60402
ABBY,US-xAB,2021,3,221.15306262627075,1,0.63875,220.0,178.0,0.8013673785017509,33.7,70.3,5.047,-0.781253,2.44714,3.17946
ABBY,US-xAB,2021,4,375.0502280945788,1,0.6014285714285714,376.6666666666667,323.6666666666667,0.8664190152739771,37.6,98.8,1.111,-1.55207,3.18039,4.44977
ABBY,US-xAB,2021,5,368.84246236559204,1,0.63125,469.0,391.5,0.8405705225194875,68.0,133.0,2.8,-1.17834,5.07521,6.76589
ABBY,US-xAB,2021,6,441.8243902777774,1,0.8375,738.25,452.25,0.5952678993206563,119.1,200.9,2.591,-1.06043,7.45633,8.74092
ABBY,US-xAB,2021,7,446.6262258020847,1,0.91,716.5,436.75,0.5421860464594588,124.10000000000001,209.8,0.0,-0.75894,8.74752,8.31495
ABBY,US-xAB,2021,8,325.63286866513704,1,0.80125,503.0,232.0,0.44858343368753467,90.30000000000001,150.7,0.261,-1.18168,5.61924,6.51824
ABBY,US-xAB,2021,9,271.0977882876558,1,0.8300000000000001,427.0,250.25,0.5894891440306604,64.7,98.0,7.266,0.116722,4.45989,4.22119
ABBY,US-xAB,2021,10,143.56741241715216,1,0.66,202.33333333333334,131.33333333333334,0.646164778127505,19.0,27.6,7.043,1.28039,4.81306,3.07664
ABBY,US-xAB,2021,11,71.50078640776755,1,0.33125000000000004,96.25,47.25,0.48537391820745557,14.3,17.9,14.602,1.66206,3.57971,2.01358
ABBY,US-xAB,2021,12,43.93551686467308,1,0.35,22.25,6.75,0.27361111111111114,5.3,6.1000000000000005,11.858,1.37863,2.17781,0.882852
ABBY,US-xAB,2022,1,94.27820519761765,0,0.59875,3013.6,14.0,0.5384615384615384,12.200000000000001,17.5,11.023,0.45737,2.09475,1.61825
ABBY,US-xAB,2022,2,209.68013746223642,0,0.5814285714285715,26.0,14.0,0.5384615384615384,20.1,32.6,7.255,0.612416,2.84436,2.16097
ABBY,US-xAB,2022,3,323.4522360080884,1,0.485,26.0,14.0,0.5384615384615384,38.3,70.5,6.409,-0.83689,3.48551,3.93623
ABBY,US-xAB,2022,4,253.00974715198342,1,0.34500000000000003,26.0,14.0,0.5384615384615384,31.0,55.900000000000006,8.842,-1.64501,3.18393,4.57814
ABBY,US-xAB,2022,5,292.1628857770423,1,0.41875,26.0,14.0,0.5384615384615384,59.2,103.60000000000001,7.499,-0.975805,5.23918,5.86732
ABBY,US-xAB,2022,6,345.1108888888826,1,0.6675,26.0,14.0,0.5384615384615384,105.9,156.20000000000002,7.301,-0.770057,7.36739,8.29138
ABBY,US-xAB,2022,7,446.74140322579956,1,0.8614285714285714,26.0,14.0,0.5384615384615384,134.60000000000002,207.60000000000002,0.24,-2.16034,6.13532,9.25134
ABBY,US-xAB,2022,8,404.245999999987,1,0.9337500000000001,26.0,14.0,0.5384615384615384,104.5,178.4,0.0,-0.368074,7.19572,7.21442
ABBY,US-xAB,2022,9,291.5383566170901,1,0.8525,26.0,14.0,0.5384615384615384,72.4,110.60000000000001,0.679,-0.0381375,5.4453,5.30074
ABBY,US-xAB,2022,10,179.82474548882237,1,0.71,26.0,14.0,0.5384615384615384,16.6,31.900000000000002,5.004,1.74089,6.66325,4.47793
ABBY,US-xAB,2022,11,86.86292830934248,1,0.57125,26.0,14.0,0.5384615384615384,14.100000000000001,19.8,12.559,1.03103,2.88037,2.01005
ABBY,US-xAB,2022,12,45.21692872265316,1,0.55625,23.5,12.75,0.5444711538461539,7.900000000000001,9.700000000000001,10.164,1.14256,2.56346,1.29807
ABBY,US-xAB,2023,1,67.04658717326916,0,0.4375,3164.8,24.0,0.3915781413551262,12.100000000000001,16.6,6.869,0.698036,2.22566,1.54599
ABBY,US-xAB,2023,2,111.21293090583804,0,0.44571428571428573,78.75,42.25,0.45475168042994507,15.4,23.500000000000004,6.557,0.569603,2.22048,1.69581
ABBY,US-xAB,2023,3,176.69409235889438,1,0.45,140.5,110.0,0.7738699646525277,27.4,46.7,7.603,-0.116173,2.35598,2.38758
ABBY,US-xAB,2023,4,242.9434778379792,1,0.2742857142857143,289.0,233.33333333333334,0.7974966362155654,34.7,61.0,9.71,-0.677415,3.35531,3.82033
ABBY,US-xAB,2023,5,389.3526553672254,1,0.7262500000000001,597.0,469.75,0.7875107658672557,84.30000000000001,152.1,0.963,-1.73945,4.75117,6.58954
ABBY,US-xAB,2023,6,443.5939856480758,1,0.88,785.75,589.25,0.7553194443574626,113.2,186.60000000000002,1.045,-1.73883,5.70492,8.04782
ABBY,US-xAB,2023,7,491.3786822695046,1,0.9142857142857144,746.25,433.75,0.5815319900782913,135.3,209.0,0.0,-2.60584,6.33234,6.68953
ABBY,US-xAB,2023,8,357.0017342404843,1,0.89125,489.75,171.5,0.20227675323999345,93.9,157.70000000000002,0.848,-0.227768,4.19587,3.41925
ABBY,US-xAB,2023,9,261.98933946487284,1,0.93,453.25,244.0,0.5363967094979547,71.7,100.60000000000001,2.276,-0.372693,2.77794,3.78074
ABBY,US-xAB,2023,10,157.6450864699913,1,0.9242857142857143,254.66666666666666,118.33333333333333,0.4814405322802084,28.700000000000003,37.5,5.221,1.24104,4.33313,3.25267
ABBY,US-xAB,2023,11,95.02244671658872,1,0.5925,104.25,47.5,0.5813332469285469,21.5,28.1,8.724,0.656577,5.64809,3.15658
ABBY,US-xAB,2023,12,55.291615064007935,1,0.525,54.75,26.5,0.4080212945393211,10.0,11.700000000000001,14.727,1.51644,4.58081,1.04896
BLAN,US-xBL,2019,1,108.73437668010628,0,0.19375,11846.0,,,,,3.918,-0.916692,1.79603,2.38226
BLAN,US-xBL,2019,2,165.92840959821183,0,0.30428571428571427,,,,,,3.726,-0.90749,2.08024,2.59311
BLAN,US-xBL,2019,3,244.45060816326617,0,0.34875,,,,,,5.266,-0.919362,2.34741,2.79605
BLAN,US-xBL,2019,4,254.63385286103818,1,0.5342857142857144,,,,,,6.3,-0.914749,3.22427,3.43865
BLAN,US-xBL,2019,5,211.15088541666827,1,0.6000000000000001,,,,,,6.669,-0.916692,3.74718,3.81746
BLAN,US-xBL,2019,6,209.75020486111288,1,0.54625,,,,,,3.091,-0.914749,3.98517,3.98822
BLAN,US-xBL,2019,7,239.79566962563052,1,0.6014285714285714,,,,,,7.309,-0.916439,4.26626,4.37324
BLAN,US-xBL,2019,8,212.92715125601583,1,0.68875,,,,,,5.214,-0.7244,4.13022,4.25766
BLAN,US-xBL,2019,9,211.84354037267266,1,0.57625,,,,,,1.173,-0.0964497,3.96704,3.37355
BLAN,US-xBL,2019,10,132.9906203208582,1,0.48857142857142855,,,,,,5.662,-0.23623,2.73728,2.83685
BLAN,US-xBL,2019,11,110.95063626907066,1,0.41625,,,,,,1.332,0.628946,1.59017,1.0865
BLAN,US-xBL,2019,12,87.77002198917508,0,0.38875000000000004,,,,,,1.512,0.560286,1.56676,1.06573
BLAN,US-xBL,2020,1,103.12741431451539,0,0.32875,12291.0,,,,,0.525,1.1082,1.22144,0.290627
BLAN,US-xBL,2020,2,140.45005208333197,0,0.3057142857142857,,,,,,2.565,0.826235,1.53441,0.733988
BLAN,US-xBL,2020,3,196.76953398384535,0,0.42625,,,,,,2.006,0.858039,2.4714,1.77074
BLAN,US-xBL,2020,4,201.85020312499873,1,0.51875,,,,,,3.636,-0.770829,3.40935,4.34512
BLAN,US-xBL,2020,5,182.6440322580633,1,0.6185714285714285,,,,,,2.846,-3.55435,4.11371,7.34374
BLAN,US-xBL,2020,6,242.99546764622812,1,0.63,,,,,,2.235,-5.05121,6.79923,10.89
BLAN,US-xBL,2020,7,260.64067548746954,1,0.635,,,,,,3.212,-5.24547,5.74143,11.3108
BLAN,US-xBL,2020,8,202.12866509751183,1,0.6100000000000001,,,,,,3.069,-3.74879,3.99114,8.84287
BLAN,US-xBL,2020,9,174.50140798610954,1,0.71875,,,,,,0.0,0.408922,2.23916,3.46638
BLAN,US-xBL,2020,10,131.3307812499978,1,0.64,,,,,,2.576,0.71421,0.807436,2.34144
BLAN,US-xBL,2020,11,118.82032291666388,1,0.5785714285714285,,,,,,2.291,0.934037,2.02608,1.59387
BLAN,US-xBL,2020,12,91.90255376344201,0,0.36875,,,,,,4.66,0.712568,1.29747,0.637638
BLAN,US-xBL,2021,1,101.08239751344026,0,0.39875,2532.8,17.75,0.8919944789510007,18.1,29.1,2.01,0.717388,1.09611,0.455009
BLAN,US-xBL,2021,2,143.65127232142902,0,0.09714285714285713,30.25,25.75,0.8354525567404977,21.8,35.6,3.263,1.13374,5.04998,0.826032
BLAN,US-xBL,2021,3,254.64520954907522,0,0.39625,172.0,150.0,0.8734918956856503,30.400000000000002,99.2,1.295,0.511416,2.76532,1.77558
BLAN,US-xBL,2021,4,252.04926223776013,1,0.5857142857142856,346.6666666666667,294.0,0.8516644056466518,39.5,96.80000000000001,2.538,-0.743598,3.90812,5.49611
BLAN,US-xBL,2021,5,224.89525201612653,1,0.6325000000000001,468.0,376.75,0.8052464753489881,78.4,163.0,2.118,-3.10003,4.71952,8.45118
BLAN,US-xBL,2021,6,245.09386989303786,1,0.59125,539.75,400.25,0.7392724745465559,100.10000000000001,203.20000000000002,2.424,-1.83141,6.26868,7.60734
BLAN,US-xBL,2021,7,258.62304863582557,1,0.5871428571428572,422.5,261.75,0.6203943297624697,88.80000000000001,210.0,2.297,-2.49747,6.08919,9.02269
BLAN,US-xBL,2021,8,220.17946572581008,1,0.6112500000000001,380.0,211.0,0.5505947638812819,84.80000000000001,174.10000000000002,3.177,-0.797616,6.55303,7.24197
BLAN,US-xBL,2021,9,189.77195138889203,1,0.6725,446.75,327.0,0.731285015086347,73.60000000000001,131.1,7.425,0.146095,6.62145,6.64304
BLAN,US-xBL,2021,10,129.79682749280633,1,0.64,308.0,241.0,0.7903324321346848,34.1,62.5,2.819,-0.189393,3.9306,3.93976
BLAN,US-xBL,2021,11,121.75245492371496,1,0.59875,119.0,100.0,0.8351069077183727,19.400000000000002,47.9,0.791,0.699214,2.23255,1.70125
BLAN,US-xBL,2021,12,93.5373639112899,0,0.445,54.5,41.5,0.7642796221758466,16.2,32.800000000000004,0.44,1.20005,2.16455,0.918118
BLAN,US-xBL,2022,1,108.2394586415598,0,0.08375,2549.4,18.0,0.6666666666666666,18.5,25.400000000000002,2.216,1.04695,1.17282,0.175079
BLAN,US-xBL,2022,2,177.47920744185697,0,0.3157142857142857,27.0,18.0,0.6666666666666666,25.8,58.400000000000006,1.515,0.902106,1.4101,0.568406
BLAN,US-xBL,2022,3,220.72264636608966,0,0.4075,27.0,18.0,0.6666666666666666,36.800000000000004,85.60000000000001,1.385,1.23973,2.48651,1.35357
BLAN,US-xBL,2022,4,253.7651597006739,1,0.615,27.0,18.0,0.6666666666666666,37.2,95.4,2.536,-0.264408,4.70769,5.17238
BLAN,US-xBL,2022,5,200.05719851576947,1,0.58375,27.0,18.0,0.6666666666666666,85.60000000000001,162.0,5.872,-2.94601,6.83199,9.89372
BLAN,US-xBL,2022,6,225.88649087627877,1,0.68625,27.0,18.0,0.6666666666666666,104.0,206.20000000000002,4.825,-4.24027,6.51841,11.0588
BLAN,US-xBL,2022,7,161.9280661962369,1,0.6728571428571428,27.0,18.0,0.6666666666666666,97.60000000000001,190.70000000000002,2.439,-3.63101,6.81011,10.4791
BLAN,US-xBL,2022,8,157.92709005376364,1,0.70125,27.0,18.0,0.6666666666666666,98.10000000000001,182.9,5.503,-3.07513,6.814,10.014
BLAN,US-xBL,2022,9,123.89254687500052,1,0.63,27.0,18.0,0.6666666666666666,65.2,116.9,3.564,-2.27604,5.18502,7.18223
BLAN,US-xBL,2022,10,99.10164829396359,1,0.5825,27.0,18.0,0.6666666666666666,15.200000000000001,39.5,1.684,-0.938222,2.87684,3.96438
BLAN,US-xBL,2022,11,111.12715793176217,1,0.50125,27.0,18.0,0.6666666666666666,20.6,50.0,2.304,0.444502,2.2369,1.75346
BLAN,US-xBL,2022,12,88.35621807795734,0,0.425,24.5,16.25,0.6617647058823529,15.4,21.8,3.497,0.726085,1.23704,0.534207
BLAN,US-xBL,2023,1,89.35344044414572,0,0.30874999999999997,2414.0,38.75,0.8313011063011063,19.3,34.2,0.786,0.647831,1.35615,0.783296
BLAN,US-xBL,2023,2,152.81495747970638,0,0.3457142857142857,78.5,69.0,0.8841986578562282,27.700000000000003,57.10000000000001,1.954,0.823179,1.62641,0.939256
BLAN,US-xBL,2023,3,221.56620745542898,0,0.3875,148.5,125.75,0.851681132351864,31.900000000000002,93.30000000000001,1.444,0.431903,3.05911,2.6827
BLAN,US-xBL,2023,4,196.61351336405957,1,0.5714285714285714,336.3333333333333,277.0,0.8251546068539711,37.2,101.4,2.766,-1.16736,5.58039,7.24049
BLAN,US-xBL,2023,5,148.54072773109314,1,0.5675,512.0,426.0,0.8311345017200473,76.80000000000001,168.3,2.483,-4.32408,5.18427,9.55121
BLAN,US-xBL,2023,6,140.50809201388884,1,0.55125,468.5,353.75,0.7549721563350897,83.2,180.2,2.599,-4.99793,5.29964,10.4877
BLAN,US-xBL,2023,7,151.52122295882697,1,0.64,451.5,285.5,0.6317057380999982,95.4,215.10000000000002,1.838,-3.16399,6.11912,10.0396
BLAN,US-xBL,2023,8,137.56567708333458,1,0.5387500000000001,351.75,236.5,0.6737314444695552,63.800000000000004,188.60000000000002,1.032,-1.26677,4.66328,5.76743
BLAN,US-xBL,2023,9,97.4154578687625,1,0.45999999999999996,337.0,266.75,0.7877814145023722,49.1,135.1,3.516,0.354116,4.43571,3.92734
BLAN,US-xBL,2023,10,97.08161122311853,1,0.6114285714285714,263.6666666666667,221.33333333333334,0.8403873622378669,25.6,65.0,0.967,-0.615898,3.71866,4.64067
BLAN,US-xBL,2023,11,101.91468966712968,1,0.5387500000000001,103.5,87.5,0.843522728905232,18.3,51.3,1.916,0.626518,1.99988,1.42876
BLAN,US-xBL,2023,12,79.28753893026432,0,0.3625,44.0,34.5,0.7887296718433618,15.700000000000001,29.900000000000002,3.563,0.985836,1.66089,0.627437
BART,US-xBR,2019,1,81.02940408958193,0,0.39375,12177.0,,,,,0.937,0.6693,0.966471,0.309167
BART,US-xBR,2019,2,142.48399355057782,0,0.33999999999999997,,,,,,1.627,0.743966,0.815376,0.0550264
BART,US-xBR,2019,3,233.66980958811646,0,0.24625,,,,,,2.019,0.895407,1.05908,-0.167952
BART,US-xBR,2019,4,257.3115561083489,0,0.20714285714285716,,,,,,5.59,0.136941,1.23612,1.17768
BART,US-xBR,2019,5,266.3331952861935,1,0.47000000000000003,,,,,,4.425,-0.5126,2.69765,3.47009
BART,US-xBR,2019,6,308.3274645266294,1,0.7925,,,,,,4.322,-2.98019,4.83237,8.17805
BART,US-xBR,2019,7,401.25508535489007,1,0.84,,,,,,3.504,-2.99555,8.14492,10.4277
BART,US-xBR,2019,8,304.7872631946879,1,0.8125,,,,,,3.778,-2.43456,9.1262,11.2866
BART,US-xBR,2019,9,216.21819415448718,1,0.805,,,,,,1.519,-2.06838,3.93162,6.04508
BART,US-xBR,2019,10,127.04871569950527,1,0.5185714285714286,,,,,,5.863,1.11525,4.00854,2.85928
BART,US-xBR,2019,11,86.00735436893268,0,0.38875000000000004,,,,,,3.371,0.875472,1.49335,0.636757
BART,US-xBR,2019,12,59.43455890595273,0,0.30875,,,,,,4.975,0.807519,0.714206,-0.0473041
BART,US-xBR,2020,1,68.2077954877095,0,0.2975,13068.0,,,,,2.245,0.67897,0.851964,0.163414
BART,US-xBR,2020,2,102.71858549471723,0,0.2714285714285714,,,,,,2.506,0.753296,0.743965,-0.00392736
BART,US-xBR,2020,3,192.10119209039513,0,0.28625,,,,,,3.294,0.473629,0.959517,0.459489
BART,US-xBR,2020,4,241.9561099537045,0,0.395,,,,,,6.562,-0.176211,1.39749,1.60668
BART,US-xBR,2020,5,362.8458411738325,1,0.4342857142857143,,,,,,2.597,-0.934579,4.28108,4.57974
BART,US-xBR,2020,6,304.40056625667376,1,0.86,,,,,,4.058,-3.64768,4.81457,9.38366
BART,US-xBR,2020,7,300.416762065098,1,0.8175,,,,,,4.26,-2.61209,9.08577,12.0999
BART,US-xBR,2020,8,266.3363670582884,1,0.8985714285714286,,,,,,1.821,-2.81637,5.67776,8.69134
BART,US-xBR,2020,9,222.05644951894897,1,0.8475,,,,,,2.438,-1.77678,4.93016,6.82528
BART,US-xBR,2020,10,119.11761617222426,1,0.46875,,,,,,3.041,-0.311655,3.03298,3.88456
BART,US-xBR,2020,11,84.40024618585444,0,0.3614285714285715,,,,,,4.297,1.12236,1.90828,0.855893
BART,US-xBR,2020,12,53.05078973899444,0,0.295,,,,,,6.226,0.69745,1.05323,0.334678
BART,US-xBR,2021,1,73.54788947545873,0,0.39,2686.6,0.25,0.25,10.700000000000001,12.3,2.061,0.590965,0.63254,0.0220804
BART,US-xBR,2021,2,100.86207743857172,0,0.2485714285714286,2.25,1.0,0.3333333333333333,18.1,21.0,2.743,0.49952,0.473724,-0.0325769
BART,US-xBR,2021,3,220.7503412043804,0,0.3875,50.25,43.5,0.8541570917229773,31.700000000000003,63.900000000000006,1.888,0.468335,0.973191,0.456597
BART,US-xBR,2021,4,234.91492234584743,0,0.40714285714285714,145.66666666666666,129.66666666666666,0.8881332104523766,30.1,61.7,3.342,-0.161402,1.41372,1.86077
BART,US-xBR,2021,5,283.32261424731115,1,0.6125,466.5,382.75,0.8428717177760463,71.4,141.3,1.52,-1.48562,3.42252,5.01668
BART,US-xBR,2021,6,335.17136879926045,1,0.7825,739.5,499.0,0.6694229897862215,127.2,178.9,0.524,-3.84602,6.4251,9.87126
BART,US-xBR,2021,7,237.51425030978623,1,0.7257142857142858,663.75,447.5,0.6666488412967254,109.7,149.8,5.384,-2.91983,5.04229,7.48047
BART,US-xBR,2021,8,242.53993219572294,1,0.72875,674.25,421.25,0.6270937803897404,115.8,158.8,2.921,-1.61664,4.83887,7.11353
BART,US-xBR,2021,9,188.61470943746687,1,0.785,405.75,300.25,0.7667066878710941,61.7,97.9,4.561,-1.59139,5.16346,6.45261
BART,US-xBR,2021,10,119.75405175310658,1,0.5742857142857144,167.0,147.66666666666666,0.883655619533482,18.900000000000002,38.900000000000006,5.481,1.21323,3.83173,2.44274
BART,US-xBR,2021,11,93.12402662036673,0,0.39375,42.75,37.0,0.7787934794170832,15.8,29.400000000000002,2.425,0.637333,1.60876,1.00868
BART,US-xBR,2021,12,52.86886200716827,0,0.26625,6.5,4.75,0.7178362573099415,11.3,14.700000000000001,3.266,0.813173,1.01177,0.208311
BART,US-xBR,2022,1,71.41914423508092,0,0.4025,2766.6,8.0,0.6153846153846154,8.600000000000001,10.4,1.116,0.629885,0.60465,-0.0370168
BART,US-xBR,2022,2,109.36631030633441,0,0.24857142857142858,13.0,8.0,0.6153846153846154,20.700000000000003,25.700000000000003,4.651,0.645362,0.809849,0.156246
BART,US-xBR,2022,3,178.76233793955322,0,0.32625000000000004,13.0,8.0,0.6153846153846154,30.900000000000002,56.0,2.642,0.269535,0.862755,0.66734
BART,US-xBR,2022,4,243.94893287036717,0,0.4375,13.0,8.0,0.6153846153846154,30.800000000000004,65.0,3.764,-0.121597,1.48492,1.65783
BART,US-xBR,2022,5,325.8444082044429,1,0.63875,13.0,8.0,0.6153846153846154,81.4,161.70000000000002,1.526,-0.947033,4.27203,5.58101
BART,US-xBR,2022,6,296.03790856481453,1,0.9125,13.0,8.0,0.6153846153846154,124.70000000000002,181.60000000000002,2.476,-4.17185,6.05994,9.97219
BART,US-xBR,2022,7,331.41391060197964,1,0.7985714285714286,13.0,8.0,0.6153846153846154,130.60000000000002,191.8,2.757,-3.51485,6.35523,10.1842
BART,US-xBR,2022,8,261.4380110497203,1,0.765,13.0,8.0,0.6153846153846154,109.0,153.9,3.216,-1.96016,7.38166,8.43184
BART,US-xBR,2022,9,178.66939439555878,1,0.8562500000000001,13.0,8.0,0.6153846153846154,66.2,98.10000000000001,6.513,-0.498812,5.59859,6.38096
BART,US-xBR,2022,10,140.81298251513613,1,0.5325,13.0,8.0,0.6153846153846154,12.200000000000001,28.700000000000003,5.672,1.60138,4.95881,3.30096
BART,US-xBR,2022,11,90.16764009378475,0,0.41500000000000004,13.0,8.0,0.6153846153846154,16.2,28.900000000000002,5.31,1.78863,3.11491,1.31313
BART,US-xBR,2022,12,59.928173325828695,0,0.29,11.75,7.25,0.6177884615384616,10.200000000000001,13.5,6.319,1.35762,1.50715,0.166621
BART,US-xBR,2023,1,60.56802265589807,0,0.2975,2444.2,3.25,-inf,11.8,14.0,4.299,1.19434,1.37124,0.200926
BART,US-xBR,2023,2,113.85055916937465,0,0.29857142857142854,4.5,3.5,0.2388888888888889,19.900000000000002,23.900000000000002,1.431,0.768574,0.657353,-0.150073
BART,US-xBR,2023,3,176.44064168723943,0,0.23500000000000001,18.0,14.25,0.7723214285714286,34.400000000000006,46.2,2.214,0.575341,0.867676,0.303409
BART,US-xBR,2023,4,240.8151819779163,0,0.3157142857142857,152.0,139.66666666666666,0.9193513496809284,29.700000000000003,73.8,4.926,-0.290637,1.52958,1.87252
BART,US-xBR,2023,5,330.1499125952436,1,0.64875,459.0,391.5,0.8747380098648636,70.0,159.5,5.155,-1.94312,3.66647,5.68228
BART,US-xBR,2023,6,236.5953752606019,1,0.7325,576.25,391.25,0.6750282173596855,98.80000000000001,138.9,8.967,-3.38541,5.67147,8.94855
BART,US-xBR,2023,7,268.4203775487359,1,0.8157142857142857,642.5,427.5,0.6692314908465831,113.9,171.3,8.258,-2.47782,5.59914,8.55828
BART,US-xBR,2023,8,236.9561582242453,1,0.8875000000000001,653.5,478.25,0.73517312746919,103.0,150.60000000000002,4.929,-2.04809,7.57713,9.34441
BART,US-xBR,2023,9,191.31159504227256,1,0.785,485.0,319.5,0.6602059889524379,73.9,101.60000000000001,3.972,-0.857716,7.61828,7.24359
BART,US-xBR,2023,10,111.14733056553004,1,0.3842857142857143,116.33333333333333,105.0,0.9040191834309481,20.700000000000003,34.800000000000004,2.644,1.11588,3.19172,1.8702
BART,US-xBR,2023,11,94.26181114193402,0,0.39375,27.5,23.0,0.8340818047649168,14.9,25.1,2.581,0.517236,1.48642,0.974914
BART,US-xBR,2023,12,54.627227488152705,0,0.2425,6.0,3.5,0.5520833333333333,10.1,12.8,7.542,0.645599,1.04017,0.36776
CLBJ,US-xCL,2019,1,163.24424559022572,0,0.22999999999999998,11620.0,,,,,1.388,0.404115,1.07587,0.668467
CLBJ,US-xCL,2019,2,179.6900715990416,0,0.16285714285714284,,,,,,1.22,0.495718,0.969049,0.469026
CLBJ,US-xCL,2019,3,306.50926460666386,1,0.2975,,,,,,1.033,0.909109,2.12666,1.25151
CLBJ,US-xCL,2019,4,326.5007333333295,1,0.5800000000000001,,,,,,5.39,0.948899,4.78888,3.75074
CLBJ,US-xCL,2019,5,313.27554754454815,1,0.6625,,,,,,8.091,-1.165,5.76516,7.0261
CLBJ,US-xCL,2019,6,379.57806586077515,1,0.70125,,,,,,2.566,-3.29113,6.38651,9.74449
CLBJ,US-xCL,2019,7,407.0672053283103,1,0.5914285714285715,,,,,,0.209,-3.10155,4.92931,8.16125
CLBJ,US-xCL,2019,8,350.05519494487197,0,0.54625,,,,,,1.815,-1.61929,3.93031,5.59931
CLBJ,US-xCL,2019,9,317.9893441711757,0,0.5962500000000001,,,,,,0.969,-1.34058,4.07956,5.2239
CLBJ,US-xCL,2019,10,243.43009139784297,0,0.5142857142857143,,,,,,2.889,-0.380024,2.85738,3.21824
CLBJ,US-xCL,2019,11,167.9688523452651,0,0.275,,,,,,3.714,0.960108,1.86687,0.902164
CLBJ,US-xCL,2019,12,173.98919983861646,0,0.195,,,,,,0.814,0.508524,1.33272,0.80004
CLBJ,US-xCL,2020,1,163.46169535519186,0,0.20875,12264.0,,,,,3.936,0.702881,1.87,1.1567
CLBJ,US-xCL,2020,2,239.96346982759093,0,0.25285714285714284,,,,,,2.415,-0.036754,1.20073,1.23355
CLBJ,US-xCL,2020,3,251.85927686506955,1,0.27,,,,,,3.936,1.71896,2.96532,1.28025
CLBJ,US-xCL,2020,4,281.7708069444497,1,0.5587500000000001,,,,,,2.096,-1.4092,4.85519,6.25383
CLBJ,US-xCL,2020,5,306.5365003362484,1,0.6714285714285715,,,,,,5.472,-3.74288,7.3262,11.2637
